Year,Brand,Campaign,Star Date,End Date,TA,Publisher,Reach Fre.,cost,Universe(000),tauv,Market,index,reach,split,IMP Actual
2019,MMS,MMS Y19 BPI Crispy Launch,2019/3/11,2019/4/7,P15-35,Youku,1+,1404000.0,407424.0,15079386.0,national,122,0.03701153098491989,BPI,
2019,MMS,MMS Y19 BPI Crispy Launch,2019/3/11,2019/4/7,P15-35,Youku,1+,396000.0,407424.0,13000000.0,national,123,0.031907791391768775,BPI,
2019,MMS,MMS Y19 BPI Movie,2019/6/14,2019/7/20,P15-35,Maoyan,1+,6750000.0,407424.0,222116909.0,national,125,0.5451738459197298,BPI,
2019,MMS,MMS Y19 BPI Movie,2019/6/14,2019/7/20,P15-35,GDT,1+,180000.0,407424.0,15384173.0,national,126,0.03775961406299089,BPI,
2019,MMS,MMS Y19 BPI Q4 Incentive,2019/10/21,2019/11/13,P15-35,Maoyan,1+,2500000.0,407424.0,200935838.0,national,128,0.4931860616949419,BPI,
2020,MMS,MMS Y20 BPI Crispy After Care,2020/5/4,2020/6/3,P15-35,Douyin,1+,0.0,407424.0,258234.0,national,130,0.0006338212770970783,BPI,
2020,MMS,MMS Y20 BPI Crispy After Care,2020/5/4,2020/6/3,P15-35,Douyin,1+,300000.0,407424.0,7650249.0,national,131,0.018777119168237513,BPI,
2020,MMS,MMS Y20 BPI Crispy After Care,2020/5/4,2020/6/3,P15-35,Douyin,1+,500010.0,407424.0,3988756.0,national,132,0.009790184181589695,BPI,
2020,MMS,MMS Y20 BPI Crispy After Care,2020/5/4,2020/6/3,P15-35,Ali Serialization,1+,3500023.0,407424.0,55606087.0,national,133,0.1364821095468112,BPI,
2020,MMS,MMS Y20 BPI P7P8 Olympic,2020/6/30,2020/9/10,P15-35,Tencent,1+,2764990.0,407424.0,51794073.0,national,135,0.12712572897031102,BPI,
2020,MMS,MMS Y20 BPI P7P8 Olympic,2020/6/30,2020/9/10,P15-35,Tencent,1+,0.0,407424.0,2754909.0,national,136,0.006761773975023562,BPI,
2020,MMS,MMS Y20 BPI P7P8 Olympic,2020/6/30,2020/9/10,P15-35,Tencent,1+,240000.0,407424.0,10901333.0,national,137,0.02675672763509268,BPI,
2020,MMS,MMS Y20 BPI P7P8 Olympic,2020/6/30,2020/9/10,P15-35,Tencent,1+,1500010.0,407424.0,8306138.0,national,138,0.020386962967326422,BPI,
2020,MMS,MMS Y20 BPI P7P8 Olympic,2020/6/30,2020/9/10,P15-35,Tencent,1+,5495000.0,407424.0,220116415.0,national,139,0.5402637424403078,BPI,
2020,MMS,MMS Y20 BPI P11 Screen Time,2020/11/2,2020/11/30,P15-35,Tencent,1+,3500000.0,407424.0,54054164.0,national,141,0.1326729991360352,BPI,
2020,MMS,MMS Y20 BPI P11 Screen Time,2020/11/2,2020/11/30,P15-35,Douyin,1+,1497880.0,407424.0,17945836.0,national,142,0.04404707626453032,BPI,
2019,CXM,CXM Y19 Animal Stick,2019/12/9,2020/1/1,F25-40 GK,Tencent,1+,1900080.0,92600.0,43595812.0,national,144,0.4707971058315335,BPI,
2019,CXM,CXM Y19 Animal Stick,2019/12/9,2020/1/1,F25-40 GK,Douyin Group,1+,1500000.0,92600.0,31207550.0,national,145,0.3370145788336933,BPI,
2019,CXM,CXM Y19 Animal Stick,2019/12/9,2020/1/1,F25-40 GK,Toutiao,1+,500000.0,92600.0,6727552.0,national,146,0.0726517494600432,BPI,
2019,CXM,CXM Y19 Animal Stick,2019/12/9,2020/1/1,F25-40 GK,Xiaomi,1+,799977.0,92600.0,13880267.0,national,147,0.1498948920086393,BPI,
2019,CXM,CXM Y19 Animal Stick,2019/12/9,2020/1/1,F25-40 GK,Jiazhangbang,1+,576000.0,92600.0,19015973.0,national,148,0.2053560799136069,BPI,
2019,CXM,CXM Y19 Animal Stick,2019/12/9,2020/1/1,F25-40 GK,Weibo,1+,391545.0,92600.0,4794205.0,national,149,0.051773272138228944,BPI,
2020,CXM,CXM Y20 Animal Stick,2020/5/20,2020/6/10,F25-40 GK,Ali Serialization,1+,2000000.0,92600.0,17178212.0,national,151,0.18550984881209504,BPI,
2020,CXM,CXM Y20 Animal Stick,2020/5/20,2020/6/10,F25-40 GK,Tencent,1+,290252.0,92600.0,2119150.0,national,152,0.02288498920086393,BPI,
2020,CXM,CXM Y20 Animal Stick,2020/5/20,2020/6/10,F25-40 GK,Dmall(多点）,1+,0.0,92600.0,9562624.0,national,153,0.10326807775377969,BPI,
2020,CXM,CXM Y20 Animal Stick,2020/5/20,2020/6/10,F25-40 GK,Tencent,1+,1909705.0,92600.0,20594240.0,national,154,0.2224,BPI,
2020,CXM,CXM Y20 Animal Stick,2020/5/20,2020/6/10,F25-40 GK,Douyin,1+,1199835.0,92600.0,3787659.0,national,155,0.04090344492440605,BPI,
2020,CXM,CXM Y20 Animal Stick,2020/5/20,2020/6/10,F25-40 GK,Weibo,1+,360000.0,92600.0,3046362.0,national,156,0.032898077753779696,BPI,
